epoch,accuracy,epoch_time,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7165473103523254,31.65689253807068,9.999999747378752e-05,0.5974857211112976,0.6895238161087036,0.6295652389526367,0.6963074803352356,0.7076396942138672,0.6041162014007568,0.8678261041641235
1,0.8309460878372192,29.778072595596313,9.999999747378752e-05,0.41648513078689575,0.8169904947280884,0.7860869765281677,0.5666917562484741,0.7528519034385681,0.0,0.0
2,0.8556351065635681,29.484726905822754,9.999999747378752e-05,0.35330402851104736,0.8421052694320679,0.8208695650100708,0.5666917562484741,0.9310385584831238,0.0,0.0
3,0.8714662790298462,29.791018962860107,9.999999747378752e-05,0.31604692339897156,0.8611606955528259,0.8386956453323364,0.5666917562484741,1.1326658725738525,0.0,0.0
4,0.8820203542709351,29.484920501708984,9.999999747378752e-05,0.28257617354393005,0.8661417365074158,0.8608695864677429,0.5666917562484741,1.3046637773513794,0.0,0.0
5,0.8927628993988037,29.41785168647766,9.999999747378752e-05,0.2689712941646576,0.8807743191719055,0.8704347610473633,0.6435568928718567,0.677321195602417,1.0,0.17739130556583405
6,0.9114210605621338,29.76226782798767,9.999999747378752e-05,0.23053871095180511,0.8995633125305176,0.895652174949646,0.8048229217529297,0.37006479501724243,0.9906832575798035,0.5547826290130615
7,0.9240482449531555,29.61319065093994,9.999999747378752e-05,0.2054903209209442,0.9107838869094849,0.9143478274345398,0.9042953848838806,0.23309646546840668,0.9765957593917847,0.7982608675956726
8,0.939690887928009,29.788315296173096,9.999999747378752e-05,0.17685431241989136,0.9223549365997314,0.9399999976158142,0.955538809299469,0.1640813648700714,0.9463667869567871,0.9513043761253357
9,0.9500565528869629,29.555959463119507,9.999999747378752e-05,0.15555186569690704,0.937258243560791,0.9482608437538147,0.9796533584594727,0.11148932576179504,0.9597315192222595,0.9947826266288757
10,0.9570297598838806,29.702536582946777,9.999999747378752e-05,0.1368090808391571,0.9450171589851379,0.95652174949646,0.9766390323638916,0.10955074429512024,0.9839857816696167,0.9617391228675842
11,0.9655107259750366,29.858036756515503,9.999999747378752e-05,0.11851071566343307,0.9560534358024597,0.9647825956344604,0.9773926138877869,0.09633725881576538,0.9534109830856323,0.9965217113494873
12,0.9658876657485962,29.741764068603516,9.999999747378752e-05,0.11901640146970749,0.952971339225769,0.9691304564476013,0.9427279829978943,0.1517096906900406,0.9921104311943054,0.8747826218605042
13,0.968903124332428,29.67974591255188,9.999999747378752e-05,0.11439863592386246,0.9599310755729675,0.9686956405639648,0.7784476280212402,0.521187961101532,0.9895470142364502,0.49391305446624756
14,0.9700339436531067,29.50172185897827,9.999999747378752e-05,0.10317864269018173,0.9620198607444763,0.9691304564476013,0.9231348633766174,0.1723368614912033,0.9978947639465332,0.8243478536605835
15,0.9758763909339905,29.84505844116211,9.999999747378752e-05,0.09462851285934448,0.9734088778495789,0.9708695411682129,0.8183873295783997,0.5616889595985413,0.7046568393707275,1.0
16,0.9800226092338562,29.5271635055542,9.999999747378752e-05,0.08353769779205322,0.9716250896453857,0.9826086759567261,0.9743782877922058,0.09238805621862411,0.9471074342727661,0.9965217113494873
17,0.9826611280441284,29.56355357170105,9.999999747378752e-05,0.07978848367929459,0.9750430583953857,0.9852173924446106,0.9856820106506348,0.07176774740219116,0.9711864590644836,0.9965217113494873
18,0.9817188382148743,29.54090976715088,9.999999747378752e-05,0.08053197711706161,0.9762213826179504,0.9817391037940979,0.6721929311752319,1.1686683893203735,1.0,0.24347825348377228
19,0.9851111769676208,29.50670099258423,9.999999747378752e-05,0.06881866604089737,0.9801124334335327,0.9856521487236023,0.9758854508399963,0.08706104755401611,0.9472817182540894,1.0
