epoch,accuracy,epoch_time,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7442517876625061,48.17700529098511,9.999999747378752e-05,0.5512571930885315,0.7128668427467346,0.6865217685699463,0.5666917562484741,0.7103407382965088,0.0,0.0
1,0.853750467300415,86.27870726585388,9.999999747378752e-05,0.38692161440849304,0.8365724086761475,0.8234782814979553,0.5666917562484741,0.7024889588356018,0.0,0.0
2,0.9046362638473511,57.7601101398468,9.999999747378752e-05,0.28874334692955017,0.8807300329208374,0.9021739363670349,0.6088922619819641,0.6933992505073547,0.9516128897666931,0.10260869562625885
3,0.936863899230957,86.34729385375977,9.999999747378752e-05,0.2170591652393341,0.9211316108703613,0.9343478083610535,0.8266767263412476,0.6265223622322083,0.8074866533279419,0.7878260612487793
4,0.9496796131134033,81.43192768096924,9.999999747378752e-05,0.17233040928840637,0.9387138485908508,0.945652186870575,0.8274303078651428,0.5272881388664246,0.7264397740364075,0.9652174115180969
5,0.9606106281280518,61.07903003692627,9.999999747378752e-05,0.1506069004535675,0.9416983723640442,0.9691304564476013,0.8304446339607239,0.4274505078792572,0.7198492288589478,0.9965217113494873
6,0.9638145565986633,55.20528841018677,9.999999747378752e-05,0.12992070615291595,0.9469889998435974,0.9708695411682129,0.6850037574768066,0.6426313519477844,0.5790534019470215,1.0
7,0.9724839925765991,51.6417715549469,9.999999747378752e-05,0.11481833457946777,0.9563559293746948,0.9813043475151062,0.8877166509628296,0.26294761896133423,0.7950138449668884,0.9982608556747437
8,0.9775725603103638,83.67297196388245,9.999999747378752e-05,0.09783366322517395,0.9666239023208618,0.9821739196777344,0.8176337480545044,0.4060681462287903,0.7037943601608276,1.0
9,0.9783264398574829,56.80819368362427,9.999999747378752e-05,0.09235715121030807,0.9678800702095032,0.9826086759567261,0.9653353691101074,0.10374033451080322,0.9286872148513794,0.9965217113494873
