epoch,accuracy,epoch_time,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5985676646232605,36.98334074020386,9.999999747378752e-05,1.0349167585372925,0.5376439094543457,0.5278260707855225,0.5764883160591125,0.679054856300354,1.0,0.022608695551753044
1,0.7666792273521423,35.38606071472168,9.999999747378752e-05,0.4804840385913849,0.7472066879272461,0.697826087474823,0.5666917562484741,0.7014870047569275,0.0,0.0
2,0.8267998695373535,35.35896301269531,9.999999747378752e-05,0.38431671261787415,0.8095024824142456,0.7852174043655396,0.5764883160591125,0.6586236953735352,1.0,0.022608695551753044
3,0.8633622527122498,35.357688188552856,9.999999747378752e-05,0.3171909749507904,0.845546305179596,0.8378260731697083,0.9223812818527222,0.27117490768432617,0.8734177350997925,0.9599999785423279
4,0.8938937187194824,35.50080585479736,9.999999747378752e-05,0.2667529284954071,0.8738700151443481,0.8826087117195129,0.9329314231872559,0.20046888291835785,0.8894230723381042,0.9652174115180969
5,0.9153788089752197,35.26457190513611,9.999999747378752e-05,0.22319017350673676,0.9004759788513184,0.9047825932502747,0.9201205968856812,0.19077840447425842,0.8515742421150208,0.9878261089324951
6,0.9383716583251953,40.78542447090149,9.999999747378752e-05,0.174808531999588,0.9221223592758179,0.936956524848938,0.9698567986488342,0.10027426481246948,0.9652174115180969,0.9652174115180969
7,0.9436486959457397,35.32223200798035,9.999999747378752e-05,0.15788057446479797,0.9325551390647888,0.9378260970115662,0.9804069399833679,0.0856250673532486,0.9724612832069397,0.9826086759567261
8,0.9543912410736084,35.1446430683136,9.999999747378752e-05,0.13360001146793365,0.9450691938400269,0.949999988079071,0.9231348633766174,0.1803768426179886,0.8493353128433228,1.0
9,0.9568412899971008,35.255199670791626,9.999999747378752e-05,0.1242905706167221,0.9461439251899719,0.9547826051712036,0.8990203738212585,0.21481436491012573,0.8110014200210571,1.0
10,0.9734262824058533,35.36907434463501,9.999999747378752e-06,0.09411511570215225,0.965904176235199,0.9730435013771057,0.9826676845550537,0.06615530699491501,0.9646464586257935,0.9965217113494873
11,0.9713531732559204,35.5119571685791,9.999999747378752e-06,0.0951661542057991,0.9597602486610413,0.9747825860977173,0.9902034401893616,0.052607107907533646,0.9811643958091736,0.9965217113494873
12,0.9747455716133118,35.22722935676575,9.999999747378752e-06,0.08355008065700531,0.9676165580749512,0.9743478298187256,0.9849284291267395,0.06092770770192146,0.9679595232009888,0.9982608556747437
13,0.9721070528030396,40.89416742324829,9.999999747378752e-06,0.08630367368459702,0.9641932845115662,0.9717391133308411,0.9849284291267395,0.06500738859176636,0.9663865566253662,1.0
14,0.9758763909339905,35.24366593360901,9.999999974752427e-07,0.08275367319583893,0.9664948582649231,0.97826087474823,0.98643559217453,0.057400450110435486,0.9712352156639099,0.9982608556747437
