epoch,accuracy,epoch_time,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7581982612609863,36.87385869026184,9.999999747378752e-05,0.5076701641082764,0.7388445138931274,0.6839130520820618,0.6872645020484924,0.6741447448730469,0.5833333134651184,0.9739130139350891
1,0.8337730765342712,35.00757145881653,9.999999747378752e-05,0.4001850485801697,0.8205243945121765,0.789130449295044,0.8198944926261902,0.6100909113883972,0.8835616707801819,0.6730434894561768
2,0.8918206095695496,34.98631262779236,9.999999747378752e-05,0.2985522449016571,0.8669217824935913,0.8865217566490173,0.4370761215686798,0.8136191368103027,0.43494704365730286,1.0
3,0.9180173277854919,34.91857433319092,9.999999747378752e-05,0.238525390625,0.9000428915023804,0.9121739268302917,0.47475507855415344,1.0109245777130127,0.4520440399646759,1.0
4,0.9295137524604797,35.520944595336914,9.999999747378752e-06,0.20832787454128265,0.9077053070068359,0.9321739077568054,0.8651092648506165,0.28119969367980957,0.76902174949646,0.9843478202819824
5,0.9404447674751282,34.99688768386841,9.999999747378752e-06,0.18914072215557098,0.9232081770896912,0.9408695697784424,0.9593067169189453,0.13532236218452454,0.9378151297569275,0.9704347848892212
6,0.9379947185516357,35.05736064910889,9.999999747378752e-06,0.19306933879852295,0.9216944575309753,0.9365217685699463,0.9525244832038879,0.20107980072498322,0.9885495901107788,0.9008695483207703
7,0.9449679851531982,35.27098488807678,9.999999747378752e-06,0.18013226985931396,0.9294268488883972,0.9447826147079468,0.9163526892662048,0.20413361489772797,0.8504531979560852,0.9791304469108582
8,0.9445910453796387,35.17170166969299,9.999999974752427e-07,0.1772507280111313,0.9239222407341003,0.9504348039627075,0.9645817875862122,0.12337541580200195,0.9489796161651611,0.9704347848892212
9,0.9410101771354675,35.12261080741882,9.999999974752427e-07,0.17677105963230133,0.9236673712730408,0.9417391419410706,0.9623210430145264,0.12415488809347153,0.9426644444465637,0.9721739292144775
10,0.9417640566825867,35.30660915374756,9.999999974752427e-07,0.1783899962902069,0.9212865233421326,0.9465217590332031,0.9660889506340027,0.12364637106657028,0.9506802558898926,0.9721739292144775
11,0.9413871169090271,40.67541790008545,1.0000000116860974e-07,0.18238762021064758,0.9233716726303101,0.9430434703826904,0.9653353691101074,0.12338551133871078,0.9490662217140198,0.9721739292144775
12,0.9464756846427917,35.236958742141724,1.0000000116860974e-07,0.17817074060440063,0.9271186590194702,0.9513043761253357,0.9645817875862122,0.12351325899362564,0.9474576115608215,0.9721739292144775
13,0.9428948163986206,35.123859167099,1.0000000116860974e-07,0.17611172795295715,0.9279897212982178,0.9413043260574341,0.9668424725532532,0.12313459068536758,0.9538461565971375,0.9704347848892212
14,0.9393140077590942,35.078636169433594,1.0000000116860974e-07,0.18300415575504303,0.9222886562347412,0.939130425453186,0.9653353691101074,0.12336896359920502,0.9490662217140198,0.9721739292144775
