epoch,accuracy,epoch_time,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7259706258773804,19.072154998779297,9.999999747378752e-05,0.5616182088851929,0.6315298676490784,0.8830434679985046,0.4333082139492035,6.578831672668457,0.4333082139492035,1.0
1,0.8053147196769714,17.856256008148193,9.999999747378752e-05,0.45299091935157776,0.7481394410133362,0.8304347991943359,0.4476262331008911,1.1324244737625122,0.43960243463516235,1.0
2,0.8104032874107361,17.948877096176147,9.999999747378752e-05,0.4212636947631836,0.7592147588729858,0.823913037776947,0.5350414514541626,0.8621418476104736,0.48238253593444824,1.0
3,0.8284960389137268,17.920459508895874,9.999999747378752e-05,0.3979296088218689,0.7925084233283997,0.8186956644058228,0.6744536757469177,0.7318689823150635,0.5717151165008545,0.991304337978363
4,0.8277421593666077,17.945242881774902,9.999999747378752e-05,0.3817729949951172,0.7880299091339111,0.8243478536605835,0.6797286868095398,0.5838407874107361,0.5762194991111755,0.9860869646072388
5,0.8401809334754944,17.89833116531372,9.999999747378752e-05,0.3686607778072357,0.8042749166488647,0.8343478441238403,0.7588545680046082,0.44813287258148193,0.6463834643363953,0.9791304469108582
6,0.8418771028518677,17.92253065109253,9.999999747378752e-05,0.35873478651046753,0.8019843101501465,0.843478262424469,0.752825915813446,0.48450493812561035,0.6398640871047974,0.9826086759567261
7,0.8437618017196655,17.960294723510742,9.999999747378752e-05,0.3551838994026184,0.8141819834709167,0.8286956548690796,0.7859834432601929,0.41349583864212036,0.6730083227157593,0.9843478202819824
8,0.8503580689430237,17.91697335243225,9.999999747378752e-05,0.34517475962638855,0.8155909180641174,0.8460869789123535,0.7769404649734497,0.41046932339668274,0.6639248132705688,0.9826086759567261
9,0.8390501141548157,17.99255347251892,9.999999747378752e-05,0.34947332739830017,0.7995029091835022,0.8391304612159729,0.8070836663246155,0.4028206169605255,0.6966707706451416,0.9826086759567261
10,0.8531850576400757,17.938698291778564,9.999999747378752e-05,0.33097895979881287,0.8172715902328491,0.8517391085624695,0.8379803895950317,0.34320709109306335,0.7362204790115356,0.9756521582603455
11,0.8503580689430237,17.884331703186035,9.999999747378752e-05,0.34090831875801086,0.8142737746238708,0.8482608795166016,0.736247181892395,0.6435273289680481,0.6232201457023621,0.9895651936531067
12,0.8486618995666504,18.06579828262329,9.999999747378752e-05,0.3444453179836273,0.8091697692871094,0.8517391085624695,0.8779200911521912,0.27261683344841003,0.8124054670333862,0.9339130520820618
13,0.8556351065635681,17.923180103302002,9.999999747378752e-05,0.3345494866371155,0.8182572722434998,0.8573912978172302,0.869630753993988,0.2971085011959076,0.7768595218658447,0.9808695912361145
14,0.8597813844680786,18.013866662979126,9.999999747378752e-05,0.32407450675964355,0.8222866654396057,0.863043487071991,0.8847023248672485,0.2593804597854614,0.8168168067932129,0.9460869431495667
15,0.8484734296798706,18.01592254638672,9.999999747378752e-05,0.33084627985954285,0.8111481070518494,0.8478260636329651,0.8786736726760864,0.27670690417289734,0.7940340638160706,0.9721739292144775
16,0.8567659258842468,18.027740001678467,9.999999747378752e-05,0.32970792055130005,0.8160919547080994,0.8643478155136108,0.8372268080711365,0.3432318866252899,0.7346405386924744,0.9773913025856018
17,0.8616660237312317,18.026105165481567,9.999999747378752e-06,0.311476469039917,0.82090163230896,0.8708695769309998,0.9088168740272522,0.2559742033481598,0.842900276184082,0.9704347848892212
18,0.8654353618621826,18.045759201049805,9.999999747378752e-06,0.31300827860832214,0.8207928538322449,0.8821738958358765,0.9125847816467285,0.2414756417274475,0.8503816723823547,0.9686956405639648
19,0.8577082753181458,17.975853204727173,9.999999747378752e-06,0.31591933965682983,0.8131333589553833,0.8721739053726196,0.9163526892662048,0.23783132433891296,0.8591331243515015,0.9652174115180969
